211185_s_at,209450_at,49077_at,201071_x_at,211009_s_at,200004_at,213396_s_at,201633_s_at,213881_x_at,212986_s_at,201575_at,201096_s_at,201512_s_at,208832_at,213292_s_at,57703_at,203202_at,202299_s_at,211068_x_at,212528_at,213214_x_at,212317_at,201912_s_at,211337_s_at,207707_s_at,209549_s_at,211152_s_at,212988_x_at,200015_s_at,200077_s_at,212140_at,204219_s_at,205788_s_at,211983_x_at,212100_s_at,210779_x_at,200033_at,201352_at,201607_at,210283_x_at,201550_x_at,204097_s_at,210648_x_at,202405_at,206621_s_at,206284_x_at,209797_at,200775_s_at,204812_at,203308_x_at,202867_s_at,202891_at,31807_at,212410_at,201837_s_at,209778_at,200040_at,37950_at,201994_at,209927_s_at,206860_s_at,201891_s_at,202739_s_at,202266_at,212409_s_at,206323_x_at,208101_s_at,201519_at,201658_at,208766_s_at,209965_s_at,205995_x_at,207941_s_at,200738_s_at,41512_at,200037_s_at,201056_at,203852_s_at,209944_at,207805_s_at,201734_at,203371_s_at,204038_s_at,211406_at,201007_at,212758_s_at,200668_s_at,208780_x_at,201020_at,212082_s_at,213480_at,212121_at,211716_x_at,212857_x_at,213513_x_at,200912_s_at,203467_at,208968_s_at,200976_s_at,209733_at,class
3056.8,103.7,158,3869.4,228.6,1945.8,186.9,120,4885.1,157.9,1486.1,81.3,188.6,209.2,104.5,52.8,330.7,1176.1,397.3,47.7,15143.5,198.6,156.3,88.9,383.4,189.7,196,7672,3128,5233.3,665.3,892.9,2364.8,15058.5,172.7,85.9,7423.2,1309,112.1,143.5,7465.3,133.1,3168.4,103.4,1483.7,61.2,415,648.6,114.4,55.3,73.2,152.9,207.5,895.8,395.4,64.2,2689.2,68.5,2515.3,80.4,268.1,5842.6,361.4,638,108.9,659.9,301.8,1454.6,303.8,1914.9,75.2,521.4,3394,3436.1,62.5,3351.9,117.3,40.9,1072.4,432,343.6,492.3,61.1,74.6,949,338.7,879.1,2395.4,122.9,3236.9,612.5,167.9,187.6,4218,1635.1,4570.3,105.3,424,1590.9,47.3,LL
2593.2,100.9,172.3,3507.1,191.5,1844.1,204.3,89.7,5720.7,129.5,1492.5,76.6,184.8,178.4,127.6,62.2,284.2,1185.3,499.8,53.4,15324.2,187.4,123.5,83,435.3,235.8,311.6,10822.4,2054.7,4419,599.5,910,1644.4,18347,239.7,85.6,5091.2,1012,152.2,245.8,7726.7,100.4,2254.5,71.2,1715.4,46.4,417.8,1054,88.9,115.5,73.1,237.7,263.3,706.9,388.8,86.1,3070.5,42.3,2608.6,97.6,361.7,5813.4,250.3,460,69.8,449.4,194.6,1671.8,261,3211.3,70.5,455,1889.7,3400.4,76.3,4328.5,103.9,47.5,1033.7,627.2,169.3,488.3,51.8,87.8,519.9,158.6,866.6,2008.2,70.5,3844.3,411.9,152.9,215.5,2743.8,2009.9,4491.4,99.8,572.2,992.4,51.9,LL
3313.3,108.9,165,4503.5,178.6,2214.6,189.1,73.4,3792.7,163.4,1016.2,115.5,128.1,202,146,63.5,255.1,924.5,377.3,44.5,12049.3,176.1,141.6,88.2,394.1,230.1,269.9,9891.2,2817.9,3674.6,553.9,976,2065.6,14915.3,240.9,60.9,4239.5,1263.9,129.7,165.3,8291.3,77.5,2704.7,65.7,1908.4,74.7,291.9,934.9,92.1,62.6,90.5,207.2,186.8,1289,346.5,84.7,2238.3,52.2,3084.8,59.7,267.1,7572.3,330.6,521.9,68.2,421.6,128.2,1572.4,257.5,2350.4,51.3,356,2467.7,2873.8,79.1,3050.8,108.4,41.3,1061.5,395.2,231.7,360,64.8,94.7,798.1,157.4,866.7,3140,93.3,3290.7,494.1,173.3,214,2735.3,1497.5,4494.5,66,523.1,1784.7,38.7,LL
2583.8,105.1,175.5,3671.7,217.9,1948.3,189,85.4,5723.2,126.6,1562.6,97.3,174.7,195.2,161.5,41.9,245.9,1038.1,448.3,51.3,17751.6,208.3,133.2,104.5,473.2,268.6,242.6,10901.9,2841.6,4459.7,420.2,1143.6,1702.6,16798.9,209.8,60.7,3529.7,1549.1,130.6,193,9378.8,103.2,4234.1,83,2399.8,84.3,228.7,745,104.2,102.8,75.5,218.6,263.9,790.1,367.8,93.8,3026.7,70.3,2035.1,106.2,245.2,7432.7,337,486.9,73.2,480.4,225.6,1776,313.7,3769.3,85.5,325.1,3432.1,3763.7,62.6,3950.4,97.7,44.1,873.1,399.2,288.6,478.9,70.4,136.3,1059.2,238.6,791.8,2895,103.9,3914.4,564.2,145.4,187.8,3973.8,2441.2,3227.7,69.4,587.9,1719.7,43,LL
2530.1,116.4,151.2,3745.7,183.3,1442.5,172.9,122,4215.8,154,1397.9,93.8,213.5,166.3,136.7,51.4,311.3,769.8,522.5,39,13127.1,180,189.6,69.7,278.3,174.3,276.1,7800.4,2285.2,3853.7,509.7,1082.5,1643.8,14417.1,195,59.8,7837.2,1158.1,84.3,208,7960.2,102.4,3121.7,57.1,1675.9,73.7,214,858.4,81.1,113.9,84.9,246.5,178.2,777.8,537.6,78.1,1580.2,56.2,2049.9,106.8,485.3,6470.6,272.6,393.5,112.2,429.1,207.5,1480.8,251.7,2010.4,31.7,519.8,2159.3,2384.6,60.4,2551.5,49.3,38.3,1166,568.6,200.6,449,78.2,72.3,721.2,308.7,1004.7,2642.7,85.8,3752.4,432.5,196,154.6,3613.6,1872.2,3559.8,83.1,542.2,1999.2,57.8,LL
2621.2,114.5,159.7,3657.3,202.3,2042.6,213.9,102.8,5079.2,180.2,1263.1,80.9,134.8,242.8,110.5,53.4,358.2,796.1,464.5,42.5,15642.7,232.2,135.3,111.8,472.4,210.1,346.2,7993.1,2686.1,4791.6,627.4,1134.8,1700.6,15886.3,202.9,51.5,4744.8,1171.6,126.2,200.3,8338.8,72.3,3561.5,66.6,1563.7,74.9,332.6,858.1,129.7,98.5,58.3,225,188.6,794.7,469.1,48.7,2508.9,67.7,1618,79,442.9,4272.9,342.3,542.8,72.6,651.6,226.4,1166.8,295.5,2207.9,69.5,516.2,2827.3,2806.9,83,3486,80.3,38.4,1025.1,504.6,246,417.6,46.7,63.2,965.5,202.3,713.2,2154.4,108.4,2870.9,595,127,181.1,3561.1,2254,4748.5,61.6,594,1600.3,55.1,LL
2749.8,101.6,131.3,4286.7,201,1848.4,177,116.2,3842.8,139.4,1339.8,116,164,176.8,112.7,42,394,1340.9,317.9,45.2,12193.8,160,130.6,73.5,426.4,163.9,212.8,7349.5,2661.8,2320.1,565.6,884.6,1909.5,12239.8,154.9,51.6,6196.4,1421.1,122,204,7929.7,101.6,2760.1,99.1,2267.7,60.4,256.3,1049.6,75.2,95.6,69.5,170,168.1,1050.6,490.4,71.9,2884.7,52.6,2493.3,72.1,471.2,4972.8,360.1,801.9,71.4,387.7,172,1353.3,257.5,3150.7,61.9,333.8,2713,5079.1,69.8,3661.9,74.5,44.8,857.8,568.2,316,396.8,45,81.2,894.9,273.8,1076.9,1911.3,101,3420.9,548.3,90.2,99.4,3182,1532.9,4633.9,67.6,430.6,1403.1,44.1,LL
3310.7,78.2,139.6,4237.5,226.8,1835.3,207.8,113.2,4906.3,155.5,1421.9,85,226.9,194.4,126.7,56.1,372.7,1093.8,361,46,11935.3,224.3,138.9,81.7,258.1,168.7,231.9,7434.2,2385.8,4044.3,640.6,979.3,1933.9,12069.4,236.3,70,7400.4,1301,140,206.6,7635.6,90.4,2850.1,114.4,1650.4,57.8,308,834.8,107.5,95.3,70.7,175.8,206.4,947.6,460,88.8,2930,61.2,2251.2,61.9,270.7,3658.4,299.2,700,109.7,562.9,222.6,1437.6,269.2,3327.5,85,441.6,2628.1,4389.7,83.5,4928.3,79.5,52.2,864.7,551.2,333.8,384.3,42.9,75.2,927.5,270.1,1103.7,2183.1,73.7,2688.8,502.6,140.4,175.4,4531.7,1747.9,5008,71.6,459.8,1457,59.8,LL
2906.1,101.1,128.7,3887.2,272.9,1433.1,195.6,113.6,4178.9,153.4,1028.6,70.9,127.9,259.7,153.5,51.7,336.2,821,419.9,45.5,11502.9,215.3,114.7,81.4,350.4,182.4,226.9,6482.9,2660.6,3258.4,716.8,644.6,1965.1,11209.6,161.4,42.6,5836.6,1114.7,156.7,184.9,5776.2,109.8,2783.4,99.3,1171.9,66.2,232,645.7,109,93,56.7,279.4,166.8,982.5,523.9,65.6,2050.4,54.9,1754.6,73,306.1,4846.7,445.8,592.1,99.6,453,169.4,1543.1,233.3,2893.3,75.1,477,3579.6,3356.7,85.3,4647.9,66.8,50,922.4,547.1,303.4,341,50.9,78.7,638.3,297.8,927.2,1361.1,97.6,2396.7,622.3,126.3,166.1,3492.1,1269,4356.2,74.2,286.9,1557.3,56.8,LL
3733.1,84,96.4,5568.8,210.5,3466.3,135.1,105.4,3495.3,213.4,2370.8,151.6,148.5,221,146.6,58.2,252.3,1490.9,433.1,46.9,16174.9,103.5,225.5,58.5,497.6,136.1,227.6,10730.1,1509.7,3103,509.3,1292.5,1269.9,16698.4,203.8,80.6,6528.4,2734.3,249.4,388.9,10376.7,108.6,4334.9,139.5,2372.1,99.1,261.9,642.1,124.8,109.6,146.7,213.6,307.5,1213.2,292.4,55.8,2657.5,39.5,1708.3,77.3,502,6396.6,264.3,619.8,92,405.9,235.6,551.3,243.4,2345.2,63.3,267.8,3421.6,3771.5,122,3425.5,110.9,22.8,690.4,769.5,269.1,226.1,66.2,72.4,985.3,245.9,2506.9,1653,105,3216.1,411.5,98,177,2890.2,1722.6,7695.4,59.7,666,2850.7,30.3,ALL
